Sophie Haas::  Yeah, so whenever you're ready.
William Schooler & Sophie Haas::  My name is William Schooler and I currently live in Des Moines, Iowa, and I’m a member of the Grinnell College class of 1971. I originally came to Grinnell in 1967 and was really recruited to come and run track by Ray Obermiller.
William Schooler & Sophie Haas::  Mhm.
William Schooler::  Grinnell, in 1967, was pretty much the... oh, what anybody in the 60s would’ve thought a college would be like. It had a fraternity, sorority type of atmosphere to it. All the men were on North Campus and all the women were on South Campus, and you had hours and each dorm had someone that watched over the students to make sure that they were in, and if you didn’t have the girl back into her dorm early enough, they’d lock the door and she couldn’t get back in.
William Schooler::  It was really very traditional. We made trips to South Campus to serenade some of the women’s houses. It was probably everything that you would expect of that time period.
William Schooler::  Between the end of the ’67 – ‘68 class year and the beginning of the ‘68 – ‘69 class year the whole world changed, completely turned over. My sophomore year, I lived on South Campus, which was the first time men had been allowed to live on South Campus. They opened the dorms up. There wasn’t a problem with when you came in or when you went out or who was there, really.
William Schooler::  When I got here, I heard people talking about IVs, and I- to me, an IV was an intravenous injection, that was a medical term, and could not figure out for the longest time what people were talking about. Finally, I did learn that IV meant illegal visitation, sneaking people in during the times when you weren’t supposed to be in.
William Schooler & Sophie Haas::  My freshman year, we had maid service. The maids came in, cleaned the rooms, made the beds, cleaned everything up for you. And by my sophomore year, all of that was pretty muchly ended.
William Schooler & Sophie Haas::  Hm.
William Schooler & Sophie Haas::  The campus obviously became very radicalized with the war and being consumed with that.
William Schooler::  We had a book that was read, it was called The Harrad Experiment. It was about college students that actually lived together in a dorm, and the whole campus read the book and took time off to discuss it and from all of that, oiled up one fellow that lived with the girls and that got pulled before the campus senate and then they had a big trial, and... All of the traditional, structural trappings of college pretty muchly began disintegrating very early in ’68.
William Schooler & Sophie Haas::  And.... it was- became, into ’69, a very tense, difficult time. There were professors that were at each- at each other’s throats, and students that were at each other’s throats over politics and who should be running what and there was constant worries about the National Guard and the State Attorney General.
William Schooler & Sophie Haas::  Mhm.
William Schooler & Sophie Haas::  And... It was just a really, really, crazy time.
William Schooler & Sophie Haas::  I had a girl that I was dating, who, at one point decided that the revolution had come and everything was gonna be swept away and she called her parents to tell them goodbye, which I tried to talk her into not doing because it wasn’t a very smart thing to do. And she did it anyway, called ‘em said goodbye, they were gonna be killed in the revolution and all of this, and she wasn’t back the next semester. She was the one that got swept away.
William Schooler & Sophie Haas::  Mhm.
William Schooler & Sophie Haas::  But, it was a time of a lot of really, extreme paranoia.
William Schooler & Sophie Haas::  Right.
William Schooler & Sophie Haas::  By the time I graduated in ’71, a lot of that had just- it had been too emotional, too much too long. I think a lot of it had kind of burned out and disillusionment was coming on... It was probably one of the more difficult times in my life, but probably one of the most cherished times in my life because of the decisions and things that I had to either stand up for or stand up against, and probably made it the one encompassing thing that shaped my life and how I approached everything from then on.
William Schooler & Sophie Haas::  Wow.
Sophie Haas & William Schooler::  What kinds of things were you- did you feel like you were standing up against?
